access point,device,ping (ms),download (mbps),upload (mbps),stressed,room,notes
G1100,MBP,9.4,68.06,20.27,FALSE,kitchen,
G1100,MBP,10.24,74.29,19.56,FALSE,kitchen,
G1100,MBP,39.1,41.98,13.16,FALSE,kitchen,
G1100,MBP,7.25,48.96,20.17,FALSE,kitchen,
G1100,MBP,9.7,49.82,20.09,FALSE,kitchen,
G1100,MBP,7.49,81.3,20.38,FALSE,kitchen,
G1100,MBP,8.27,77.08,19.6,FALSE,kitchen,
G1100,MBP,9.92,67.57,19.32,FALSE,kitchen,
G1100,MBP,7.29,79.89,20.42,FALSE,kitchen,
G1100,MBP,7.32,98.22,19.98,FALSE,kitchen,
G1100,MBP,10.01,82.04,20.49,FALSE,kitchen,
G1100,MBP,8.69,92.36,20.36,FALSE,kitchen,
G1100,MBP,12.99,91.35,19.9,FALSE,kitchen,
G1100,MBP,11.12,67.29,20.26,FALSE,kitchen,
G1100,MBP,17,51.43,19.91,FALSE,kitchen,
G1100,MBP,11.1,51.84,19.56,FALSE,kitchen,
G1100,MBP,10.93,43.72,20.45,FALSE,kitchen,
G1100,MBP,9.56,60.14,19.83,FALSE,kitchen,
G1100,MBP,8.74,77.18,19.6,FALSE,kitchen,
G1100,MBP,9.58,88.76,13.18,FALSE,kitchen,
G1100,MBP,9.02,33.1,20.08,FALSE,kitchen,
G1100,MBP,9.6,86.79,19.88,FALSE,kitchen,
G1100,MBP,9.2,89.55,20.45,FALSE,kitchen,
G1100,MBP,9.84,87.77,20.31,FALSE,kitchen,
G1100,MBP,8.24,68.45,19.75,FALSE,kitchen,
G1100,MBP,16.53,51.71,18.67,FALSE,kitchen,
G1100,MBP,10.04,31.84,18.64,FALSE,kitchen,
G1100,MBP,13.85,50.05,20.27,FALSE,kitchen,
G1100,MBP,15.16,22.22,19.5,FALSE,kitchen,
RT-AC1200,MBP,9.52,39.1,18.67,FALSE,kitchen,
RT-AC1200,MBP,7.09,53.74,19.5,FALSE,kitchen,
RT-AC1200,MBP,11.74,52.88,20.17,FALSE,kitchen,
RT-AC1200,MBP,14.29,53.95,20.09,FALSE,kitchen,
RT-AC1200,MBP,11.51,62.58,20.38,FALSE,kitchen,
RT-AC1200,MBP,7.7,45.58,15,FALSE,kitchen,
RT-AC1200,MBP,18.08,44.62,17.05,FALSE,kitchen,
RT-AC1200,MBP,14.7,55.08,16.92,FALSE,kitchen,
RT-AC1200,MBP,8.26,58.72,19.84,FALSE,kitchen,
RT-AC1200,MBP,11.78,43.72,19.39,FALSE,kitchen,
RT-AC1200,MBP,10.31,35.16,18.57,FALSE,kitchen,
RT-AC1200,MBP,10.05,50.1,18.01,FALSE,kitchen,
RT-AC1200,MBP,12.2,50.41,19.97,FALSE,kitchen,
RT-AC1200,MBP,11.52,54.19,19.82,FALSE,kitchen,
RT-AC1200,MBP,10.82,55.38,20.27,FALSE,kitchen,
RT-AC1200,MBP,9.51,54.18,20.11,FALSE,kitchen,
RT-AC1200,MBP,13.28,51.9,19.51,FALSE,kitchen,
RT-AC1200,MBP,8.82,42.22,19.73,FALSE,kitchen,
